B19001_001E:Total:,B19013_001E:Median household income in the past 12 months (in 2021 inflation-adjusted dollars),state_fips,county_fips,tract_fips,year,source
1073,32396,42,003,513000,2021,ACS 2021
795,22670,42,003,513800,2021,ACS 2021
820,26114,42,003,514000,2021,ACS 2021
1337,53381,42,003,515100,2021,ACS 2021
1088,53039,42,003,515200,2021,ACS 2021
912,25833,42,003,515300,2021,ACS 2021
1119,67708,42,003,515401,2021,ACS 2021
709,86188,42,003,516100,2021,ACS 2021
828,92500,42,003,516200,2021,ACS 2021
911,32875,42,003,517000,2021,ACS 2021
1577,86688,42,003,518001,2021,ACS 2021
1250,94167,42,003,519000,2021,ACS 2021
1584,60216,42,003,520001,2021,ACS 2021
1560,58636,42,003,520002,2021,ACS 2021
1779,81978,42,003,521100,2021,ACS 2021
1995,68763,42,003,521200,2021,ACS 2021
1918,47279,42,003,521301,2021,ACS 2021
2116,59903,42,003,521302,2021,ACS 2021
1297,84221,42,003,521401,2021,ACS 2021
1424,101161,42,003,521402,2021,ACS 2021
1828,80643,42,003,521500,2021,ACS 2021
1482,34331,42,003,522000,2021,ACS 2021
1605,49576,42,003,523100,2021,ACS 2021
1838,40250,42,003,523200,2021,ACS 2021
1635,63521,42,003,523300,2021,ACS 2021
2388,53321,42,003,523400,2021,ACS 2021
1721,59435,42,003,523501,2021,ACS 2021
741,51953,42,003,523502,2021,ACS 2021
2007,65992,42,003,523600,2021,ACS 2021
1769,59827,42,003,523701,2021,ACS 2021
2419,53212,42,003,523702,2021,ACS 2021
2179,60399,42,003,523800,2021,ACS 2021
1228,44195,42,003,524000,2021,ACS 2021
950,87000,42,003,525100,2021,ACS 2021
1297,58320,42,003,525200,2021,ACS 2021
1027,98950,42,003,525300,2021,ACS 2021
2973,100292,42,003,526101,2021,ACS 2021
875,74963,42,003,526102,2021,ACS 2021
1370,84773,42,003,526201,2021,ACS 2021
1894,84669,42,003,526202,2021,ACS 2021
1611,88313,42,003,526301,2021,ACS 2021
2111,81671,42,003,526302,2021,ACS 2021
756,26036,42,003,550900,2021,ACS 2021
1680,32625,42,003,551200,2021,ACS 2021
1042,57708,42,003,551300,2021,ACS 2021
772,13713,42,003,551900,2021,ACS 2021
1051,35318,42,003,552000,2021,ACS 2021
410,20659,42,003,552100,2021,ACS 2021
461,43417,42,003,552200,2021,ACS 2021
780,32200,42,003,552300,2021,ACS 2021
1374,35219,42,003,552400,2021,ACS 2021
887,40216,42,003,560400,2021,ACS 2021
1316,84519,42,003,560500,2021,ACS 2021
2407,36349,42,003,561400,2021,ACS 2021
1573,36063,42,003,561500,2021,ACS 2021
1032,21436,42,003,561900,2021,ACS 2021
1905,22754,42,003,562000,2021,ACS 2021
1318,23750,42,003,562300,2021,ACS 2021
1192,36011,42,003,562400,2021,ACS 2021
1013,31528,42,003,562500,2021,ACS 2021
1409,37585,42,003,562600,2021,ACS 2021
1289,54781,42,003,562700,2021,ACS 2021
724,48333,42,003,562800,2021,ACS 2021
618,41891,42,003,562901,2021,ACS 2021
1292,61974,42,003,563000,2021,ACS 2021
1655,63665,42,003,563100,2021,ACS 2021
159,86821,42,003,563201,2021,ACS 2021
1345,34688,42,003,563202,2021,ACS 2021
567,174583,42,003,563300,2021,ACS 2021
1640,87786,42,003,563800,2021,ACS 2021
1966,65807,42,003,563900,2021,ACS 2021
2580,103238,42,003,564000,2021,ACS 2021
396,136250,42,003,564100,2021,ACS 2021
971,53170,42,003,564200,2021,ACS 2021
2496,55732,42,003,564400,2021,ACS 2021
1242,59675,42,003,564500,2021,ACS 2021
1161,38101,42,003,564700,2021,ACS 2021
755,28080,42,003,564800,2021,ACS 2021
